Packet Count, Jetson Time
621,1679939662.2202983
622,1679939662.2204683
623,1679939662.238407
624,1679939662.238568
625,1679939662.2386525
626,1679939662.2588837
627,1679939662.2590976
628,1679939662.2794569
629,1679939662.2795873
630,1679939662.299989
631,1679939662.3001585
632,1679939662.3195777
633,1679939662.3196807
634,1679939662.3410475
635,1679939662.341169
636,1679939662.3612545
637,1679939662.3614004
638,1679939662.3881648
639,1679939662.3882926
640,1679939662.3884
641,1679939662.4089098
642,1679939662.409015
643,1679939662.4293096
644,1679939662.4294145
645,1679939662.450647
646,1679939662.4507897
647,1679939662.4705167
648,1679939662.4706244
649,1679939662.4893067
650,1679939662.489406
651,1679939662.489529
652,1679939662.509232
653,1679939662.5093572
654,1679939662.5296483
655,1679939662.5297763
656,1679939662.5496843
657,1679939662.549824
658,1679939662.5707345
659,1679939662.570895
660,1679939662.5916984
661,1679939662.5918677
662,1679939662.610456
663,1679939662.6107104
664,1679939662.6381998
665,1679939662.6383157
666,1679939662.6384594
667,1679939662.6596427
668,1679939662.6597476
669,1679939662.679957
670,1679939662.680128
671,1679939662.699641
672,1679939662.6998775
673,1679939662.7202723
674,1679939662.720357
675,1679939662.7404506
676,1679939662.74062
677,1679939662.760776
678,1679939662.7609186
679,1679939662.7795453
680,1679939662.7797554
681,1679939662.779843
682,1679939662.7998118
683,1679939662.7999868
684,1679939662.8201864
685,1679939662.8203087
686,1679939662.8398232
687,1679939662.839938
688,1679939662.8602624
689,1679939662.860422
690,1679939662.8903975
691,1679939662.89125
692,1679939662.8913832
693,1679939662.9098096
694,1679939662.9099572
695,1679939662.9292486
696,1679939662.9293869
697,1679939662.9496784
698,1679939662.9499404
699,1679939662.9706037
700,1679939662.970726
701,1679939662.9905512
702,1679939662.9907198
703,1679939663.1066709
704,1679939663.108022
705,1679939663.2943923
706,1679939663.295832
707,1679939663.2969272
708,1679939663.498872
709,1679939663.5002513
710,1679939663.704636
711,1679939663.7057955
712,1679939663.906395
713,1679939663.9075646
714,1679939663.1111054
715,1679939663.111258
716,1679939663.1394787
717,1679939663.1397865
718,1679939663.139828
719,1679939663.15936
720,1679939663.1595173
721,1679939663.1788964
722,1679939663.1790435
723,1679939663.1996613
724,1679939663.1997828
725,1679939663.220718
726,1679939663.2208595
727,1679939663.239074
728,1679939663.239202
729,1679939663.2393086
730,1679939663.2597015
731,1679939663.259833
732,1679939663.2794528
733,1679939663.2795825
734,1679939663.3003294
735,1679939663.3005755
736,1679939663.3198397
737,1679939663.319986
738,1679939663.3409412
739,1679939663.341076
740,1679939663.361318
741,1679939663.3614576
742,1679939663.388324
743,1679939663.3884397
744,1679939663.3885744
745,1679939663.409052
746,1679939663.4091935
747,1679939663.4294648
748,1679939663.429598
749,1679939663.4499748
750,1679939663.450194
751,1679939663.4702325
752,1679939663.470562
753,1679939663.4888487
754,1679939663.4889655
755,1679939663.4891057
756,1679939663.513667
757,1679939663.5137932
758,1679939663.5304115
759,1679939663.5305889
760,1679939663.5497584
761,1679939663.549926
762,1679939663.5701776
763,1679939663.5702891
764,1679939663.590972
765,1679939663.5910933
766,1679939663.6115973
767,1679939663.6117294
768,1679939663.6388316
769,1679939663.6389875
770,1679939663.6391811
771,1679939663.6593788
772,1679939663.659525
773,1679939663.679682
774,1679939663.6798065
775,1679939663.6997736
